,compound,neutral,negative,positive
569,-0.7783,0.885,0.115,0.0
570,-0.7783,0.839,0.161,0.0
571,0.34,0.817,0.085,0.098
572,0.8779,0.824,0.056,0.12
573,-0.7783,0.823,0.177,0.0
574,0.5423,0.822,0.071,0.107
575,-0.7579,0.82,0.157,0.023
576,-0.7783,0.816,0.184,0.0
577,-0.4939,0.861,0.091,0.048
578,-0.6486,0.81,0.125,0.065
579,0.504,0.83,0.078,0.092
580,0.8767,0.837,0.056,0.107
581,0.7757,0.823,0.071,0.107
582,0.4215,0.801,0.09,0.109
583,0.8483,0.808,0.078,0.114
584,-0.9115,0.796,0.147,0.057
585,-0.5697,0.819,0.094,0.087
586,0.7391,0.877,0.055,0.068
587,-0.9282,0.936,0.058,0.007
588,0.5646,0.884,0.056,0.06
589,0.7955,0.729,0.105,0.166
590,0.999,0.778,0.077,0.145
591,0.8492,0.892,0.043,0.065
592,0.0752,0.811,0.108,0.081
593,0.9936,0.745,0.066,0.189
594,0.9678,0.815,0.058,0.127
595,0.7579,0.878,0.051,0.071
596,0.5688,0.833,0.073,0.095
597,-0.5106,0.832,0.111,0.057
598,-0.6705,0.852,0.117,0.031
599,-0.6544,0.867,0.095,0.037
600,-0.6544,0.875,0.09,0.035
601,-0.276,0.862,0.073,0.065
602,-0.7998,0.864,0.136,0.0
603,-0.6808,0.807,0.123,0.07
604,0.4696,0.873,0.054,0.073
605,-0.7579,0.837,0.142,0.021
606,-0.1027,0.84,0.082,0.078
607,-0.9282,0.862,0.122,0.017
608,0.692,0.82,0.063,0.117
609,-0.4073,0.874,0.067,0.059
610,0.7745,0.878,0.046,0.076
611,0.7627,0.746,0.097,0.158
612,-0.4585,0.779,0.134,0.087
613,0.9958,0.814,0.038,0.148
614,0.9022,0.716,0.09,0.193
615,0.7564,0.72,0.117,0.164
616,0.782,0.814,0.077,0.109
617,0.9054,0.842,0.065,0.093
618,-0.6852,0.853,0.106,0.04
619,-0.7135,0.839,0.121,0.04
620,-0.7998,0.88,0.12,0.0
621,0.9904,0.759,0.066,0.175
622,0.8887,0.842,0.067,0.091
623,0.9617,0.799,0.056,0.145
624,0.9612,0.727,0.067,0.207
625,-0.6705,0.889,0.088,0.023
626,-0.7783,0.866,0.134,0.0
627,-0.25,0.864,0.077,0.059
628,-0.6322,0.813,0.128,0.059
629,-0.7998,0.88,0.12,0.0
630,-0.7135,0.839,0.121,0.04
631,-0.7998,0.88,0.12,0.0
632,0.9899,0.75,0.073,0.177
633,0.8887,0.841,0.067,0.091
634,0.8887,0.842,0.067,0.091
635,0.9612,0.723,0.068,0.21
636,-0.6705,0.889,0.088,0.023
637,-0.7783,0.866,0.134,0.0
638,-0.25,0.864,0.077,0.059
639,-0.6322,0.811,0.13,0.059
640,-0.6249,0.869,0.081,0.05
641,-0.7998,0.864,0.136,0.0
642,-0.3899,0.807,0.112,0.081
643,-0.5106,0.836,0.108,0.055
644,-0.5913,0.903,0.061,0.036
645,0.3049,0.873,0.066,0.061
646,-0.6705,0.85,0.119,0.031
647,-0.515,0.838,0.096,0.066
648,0.7409,0.83,0.073,0.097
649,-0.6486,0.788,0.165,0.047
650,0.6251,0.854,0.067,0.079
651,-0.8674,0.846,0.091,0.063
652,-0.7876,0.819,0.181,0.0
653,-0.7783,0.85,0.15,0.0
654,-0.6804,0.855,0.103,0.042
655,-0.51,0.858,0.088,0.054
656,-0.8315,0.835,0.113,0.052
657,-0.7576,0.841,0.101,0.058
658,-0.7576,0.839,0.102,0.059
659,-0.4397,0.846,0.085,0.068
660,0.3451,0.853,0.071,0.076
661,-0.1521,0.86,0.073,0.067
662,-0.3603,0.844,0.083,0.073
663,0.9755,0.864,0.045,0.091
664,-0.9986,0.735,0.158,0.107
665,-0.8979,0.854,0.11,0.036
666,-0.7783,0.858,0.142,0.0
667,-0.7744,0.904,0.075,0.021
668,-0.7293,0.845,0.089,0.067
669,-0.9789,0.752,0.135,0.113
670,-0.3612,0.854,0.092,0.054
671,0.9963,0.757,0.093,0.15
672,-0.6486,0.809,0.148,0.042
673,0.4329,0.85,0.064,0.085
674,-0.7783,0.848,0.152,0.0
675,0.9971,0.744,0.095,0.161
676,-0.7783,0.855,0.145,0.0
677,-0.4939,0.883,0.077,0.04
678,0.8765,0.795,0.059,0.146
679,-0.6808,0.871,0.104,0.026
680,0.9993,0.743,0.099,0.157
681,-0.5883,0.908,0.063,0.029
682,-0.7783,0.855,0.145,0.0
683,-0.1926,0.849,0.079,0.072
684,-0.7783,0.848,0.152,0.0
685,-0.7998,0.845,0.155,0.0
686,-0.2023,0.83,0.095,0.075
687,0.34,0.806,0.09,0.104
688,0.8966,0.847,0.044,0.109
689,0.8426,0.839,0.064,0.097
690,0.8243,0.833,0.067,0.1
691,0.9367,0.844,0.053,0.103
692,0.9563,0.84,0.051,0.109
693,0.9581,0.841,0.05,0.109
694,-0.7783,0.862,0.138,0.0
695,0.0,0.868,0.063,0.069
696,-0.8625,0.778,0.139,0.083
697,0.9524,0.798,0.05,0.152
698,-0.9583,0.847,0.087,0.066
699,-0.9669,0.853,0.086,0.061
700,-0.6705,0.848,0.12,0.031
701,0.126,0.848,0.083,0.068
702,-0.7998,0.876,0.124,0.0
703,-0.5775,0.919,0.054,0.027
704,-0.4215,0.853,0.094,0.053
705,0.2869,0.848,0.071,0.08
706,0.8563,0.845,0.054,0.102
707,0.9866,0.811,0.059,0.13
708,-0.4019,0.841,0.094,0.065
709,-0.6908,0.856,0.116,0.028
710,-0.3612,0.809,0.111,0.08
711,0.4696,0.839,0.068,0.092
712,-0.2263,0.801,0.119,0.08
